player_id,name,pos,fleaflicker_id,espn_id,yahoo_id,sleeper_id,team,actual
1238,Kendrick Bourne,WR,13364,3045523,30551,4454,NE,8.600000000000001
1132,Curtis Samuel,WR,12930,3121427,30153,4082,WAS,7.4
209,Treylon Burks,WR,16803,4567156,33973,8135,TEN,1.5
1185,Mack Hollins,WR,13008,2991662,30231,4177,ATL,3.3000000000000003
946,Michael Gallup,WR,13788,4036348,31051,5038,DAL,15.200000000000001
1960,Robert Woods,WR,9338,15880,26664,1352,HOU,6.4
409,Josh Palmer,WR,16292,4242433,33465,7670,LAC,14.600000000000001
383,Rashod Bateman,WR,16248,4360939,33415,7571,BAL,1.6
599,Darnell Mooney,WR,15658,4040655,32843,7090,CHI,0.0
991,Justin Watson,WR,13851,3118892,31114,5374,KC,7.1000000000000005
740,Darius Slayton,WR,14833,3916945,32003,6149,NYG,6.2
1473,Kalif Raymond,WR,12441,2973405,29631,3634,DET,9.5
1536,Nelson Agholor,WR,11178,2971618,28408,2325,BAL,7.9
573,Van Jefferson,WR,15564,3930066,32727,6853,LAR,6.000000000000001
741,Hunter Renfrow,WR,14836,3135321,31981,5955,LV,3.7
600,K.J. Osborn,WR,15695,3916566,32846,7066,MIN,10.6
932,Allen Lazard,WR,14059,3128390,31268,5185,NYJ,6.9
222,Skyy Moore,WR,16854,4430191,34009,8168,KC,8.2
235,Romeo Doubs,WR,16941,4361432,34088,8121,GB,18.3
564,Isaiah Hodgins,WR,15625,4242540,32877,6920,NYG,0.0
233,Calvin Austin III,WR,16921,4243389,34094,8125,PIT,15.2
398,Terrace Marshall,WR,16313,4362630,33447,7565,CAR,8.5
1131,JuJu Smith-Schuster,WR,12950,3120348,30175,4040,NE,1.5
730,Parris Campbell,WR,14692,3121410,31891,5880,NYG,8.4
968,D.J. Chark,WR,13790,3115394,31031,4951,CAR,18.6
1270,River Cracraft,WR,13732,3052056,30955,4854,MIA,2.3
572,Donovan Peoples-Jones,WR,15642,4258195,32857,6824,CLE,7.9
373,Rondale Moore,WR,16327,4372485,33437,7601,ARI,16.2
938,Braxton Berrios,WR,13909,3123075,31180,5121,MIA,5.300000000000001
